loss,val_acc,test_acc
2.572620391845703,0.522,0.495
1.1147611141204834,0.912,0.904
0.6196385025978088,0.938,0.931
0.3851288855075836,0.954,0.946
0.26094746589660645,0.962,0.951
0.19127050042152405,0.962,0.955
0.15051959455013275,0.962,0.959
0.12426132708787918,0.964,0.959
0.10485880821943283,0.964,0.958
0.08955511450767517,0.962,0.961
0.07768632471561432,0.966,0.961
0.06883218884468079,0.968,0.96
0.06241269037127495,0.968,0.96
0.057805802673101425,0.968,0.96
0.05444023385643959,0.966,0.96
0.051818277686834335,0.966,0.96
0.04953216388821602,0.966,0.961
0.047294873744249344,0.966,0.961
0.04496358707547188,0.966,0.963
0.042526617646217346,0.966,0.963
0.04005446657538414,0.966,0.964
0.037643253803253174,0.966,0.964
0.03537535294890404,0.964,0.964
0.03330457955598831,0.968,0.964
0.031457532197237015,0.968,0.965
0.029840445145964622,0.968,0.966
0.028445087373256683,0.968,0.966
0.027252068743109703,0.968,0.965
0.02623225376009941,0.97,0.966
0.025348907336592674,0.97,0.966
0.024560967460274696,0.97,0.966
0.023828834295272827,0.97,0.966
0.02311989851295948,0.97,0.966
0.022413499653339386,0.97,0.966
0.021702148020267487,0.97,0.966
0.02098960615694523,0.97,0.966
0.020286455750465393,0.97,0.966
0.019605178385972977,0.97,0.966
0.018956387415528297,0.97,0.966
0.018346816301345825,0.97,0.965
0.017779000103473663,0.972,0.964
0.017252117395401,0.972,0.964
0.016763143241405487,0.972,0.964
0.016308140009641647,0.972,0.964
0.01588309556245804,0.972,0.964
0.015484411269426346,0.972,0.964
0.015109125524759293,0.972,0.964
0.014754736796021461,0.972,0.964
0.014419068582355976,0.972,0.964
0.014100132510066032,0.972,0.964
0.013796055689454079,0.972,0.964
0.013504979200661182,0.972,0.964
0.01322536263614893,0.972,0.964
0.012955949641764164,0.972,0.964
0.012695943005383015,0.972,0.964
0.012444973923265934,0.972,0.964
0.012203112244606018,0.972,0.964
0.011970646679401398,0.972,0.963
0.011748000979423523,0.974,0.963
0.01153545267879963,0.974,0.963
0.011333118192851543,0.974,0.963
0.01114081870764494,0.974,0.964
0.010958067141473293,0.974,0.964
0.010784132406115532,0.974,0.964
0.010618134401738644,0.974,0.964
0.01045911479741335,0.974,0.964
0.01030614785850048,0.974,0.964
0.010158447548747063,0.974,0.964
0.010015351697802544,0.974,0.963
0.00987639557570219,0.974,0.963
